Country Name,Country Code,Series Name,Series Code,Year,Value
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2018,0.643391023460339
Japan,JPN,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,2018,0.0046779226153148
Japan,JPN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,10.74
Japan,JPN,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,2018,12.99
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2018,2.467
Japan,JPN,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,2018,0.43532845044551
,,,,2018,
,,,,2018,
,,,,2018,
Data from database: World Development Indicators,,,,2018,
Last Updated: 06/28/2024,,,,2018,
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2019,-0.402169200910933
Japan,JPN,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,2019,-0.173562558676423
Japan,JPN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,10.97
Japan,JPN,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,2019,12.9
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2019,2.351
Japan,JPN,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,2019,0.0401895183673702
,,,,2019,
,,,,2019,
,,,,2019,
Data from database: World Development Indicators,,,,2019,
Last Updated: 06/28/2024,,,,2019,
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2020,-4.14711889947692
Japan,JPN,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,2020,-3.52381513960844
Japan,JPN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,11.0
Japan,JPN,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,2020,11.94
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2020,2.809
Japan,JPN,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,2020,-2.62028505977648
,,,,2020,
,,,,2020,
,,,,2020,
Data from database: World Development Indicators,,,,2020,
Last Updated: 06/28/2024,,,,2020,
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2021,2.55932023865617
Japan,JPN,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,2021,2.3570474902111
Japan,JPN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,10.82
Japan,JPN,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,2021,12.03
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2021,2.828
Japan,JPN,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,2021,1.50467728618935
,,,,2021,
,,,,2021,
,,,,2021,
Data from database: World Development Indicators,,,,2021,
Last Updated: 06/28/2024,,,,2021,
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2022,0.954736937781391
Japan,JPN,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,2022,-0.490908006173996
Japan,JPN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,..
Japan,JPN,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,2022,..
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2022,2.6
Japan,JPN,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,2022,2.01404878505144
,,,,2022,
,,,,2022,
,,,,2022,
Data from database: World Development Indicators,,,,2022,
Last Updated: 06/28/2024,,,,2022,
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2023,1.92305553064716
Japan,JPN,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,2023,..
Japan,JPN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2023,..
Japan,JPN,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,2023,..
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,2023,2.6
Japan,JPN,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,2023,..
,,,,2023,
,,,,2023,
,,,,2023,
Data from database: World Development Indicators,,,,2023,
Last Updated: 06/28/2024,,,,2023,
